No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Jumlah,Ruang,Keterangan
214,Monitor Pasien,Inomed,Innocare-T12,Q068A050009,2021,1,Irna Penyakit Dalam,BAIK
215,Nebulizer,Philips,Inospire Elegance,Ref 1095067,2015,1,Irna Penyakit Dalam,Baik (Pindahan Isolasi)
216,Nebulizer,Omron,NE-C900,20180201067,2018,1,Irna Penyakit Dalam,Baik 
217,Nebulizer,Omron,NE-417-C3,20121100053 AF,2013,1,Irna Penyakit Dalam,RUSAK
218,Oxigen Concentrator,Yuwell,9F5AW,200501092,2020,1,Irna Penyakit Dalam,Baik (Jarang dipakai)
219,Oxigen Concentrator,Krober,Krober 02,1013055928,2013,1,Irna Penyakit Dalam,"Baik (Jarang dipakai, Masih dibungkus)"
220,Oxigen Concentrator,Krober,Krober 02,1021051798,2013,1,Irna Penyakit Dalam,"Baik (Jarang dipakai, Masih dibungkus"
221,Oxygen Portable,,,,,1,Irna Penyakit Dalam,Baik
222,Paramount Bedside Cabinet,,,,,19,Irna Penyakit Dalam,TIDAK DI KALIBRASI
223,Pulse Oximeter,ChoiceMed,MD300C29,201708 749887,2020,1,Irna Penyakit Dalam,Baik 
224,Pulse Oximeter,Mindray,UPM006-10CD,Z1160001382,2021,1,Irna Penyakit Dalam,Hilang Charge
225,Pulse Oximeter,Beurer P60,,89077 ulm,2025,1,Irna Penyakit Dalam,RUSAK
226,Regulator Oxygen,,,,,16,Irna Penyakit Dalam,16 Buah (2 Rusak)
227,Set GV Lengkap,,,,2025,1,Irna Penyakit Dalam,TIDAK DI KALIBRASI
228,Stethoscope,GEA,,,,1,Irna Penyakit Dalam,TIDAK DI KALIBRASI
229,Stethoscope,,,,,1,Irna Penyakit Dalam,TIDAK DI KALIBRASI
230,Suction,Sani,SN703A-D,SANM 094-23-008,2023,1,Irna Penyakit Dalam,Baik (Jarang dipakai)
231,Suction,Sani,SN703A-D,SANM 094-23-007,2023,1,Irna Penyakit Dalam,
232,Suction Portable,General Care,Phlegm Suction 7E-A,20130722482,,1,Irna Penyakit Dalam,
233,Suction Pump,Aspimed 3.3,Moretty,1621,2013,1,Irna Penyakit Dalam,
