Unnamed: 0,No.,Nama Barang,Merk,Tipe,Serial Number,Tahun,Jumlah,Cara Perolehan,Nilai Perolehan,Ruangan,Lokasi Saat Ini,Kondisi Alat,ASPAK,KIB,NON KIB dan ASPAK,KETERANGAN
,,Regulator oksigen central,RMS,Optima PT,-,,18,,,Irna Anak,,BAIK,,,False,
,,Sekerem,-,NE U 17,-,,2,,,Irna Anak,,BAIK,,,False,
,,Syringe Pump,B Braun,Innocare-T12,,2013,1,,,Irna Anak,,BAIK,,,False,
,,Tensimeter automatic,YUWELL,Stroom 5900-05,11.32.0007.03.1022.08.09,2023,2,BLUD 2023,2150000.0,Irna Anak,,RUSAK RINGAN,,TERDATA,False,
,,Tiang infus,,Electric Suction Apparatus SN 703A-D,-,,12,,,Irna Anak,,BAIK,,,False,
,,Timbangan Berat Badan Dewasa,TESENA,Ne – C 900,-,2018,1,,,Irna Anak,,BAIK,,,False,
,,Trolly emergency,Mak,Phlegm Suction 7E-A,,2013,1,,,Irna Anak,,BAIK,,,False,
,,Alat pengukur gula darah,Gluco Dr.,AGM-4000,❖ SANM094-23-014,2020,1,,,Irna Bedah,Laboratorium,BAIK,,,False,
,,Ambu Bag,Ambu,-,-,,1,,,Irna Bedah,,BAIK,,,False,
,,Ambu Bag,Greatcar,-,-,,4,,,Irna Bedah,,BAIK,,,False,
,,Baskom Stainles,-,,,2018,1,,,Irna Bedah,,RUSAK BERAT,,,False,
,,Bed dengan Bedrails,Paramount,,,,13,,,Irna Bedah,,BAIK,,,False,
,,Bed dengan Bedrails,Paramount,,,,1,,,Irna Bedah,,RUSAK RINGAN,,,False,
,,Bed Tanpa bedrails,Paramount,,,,5,,,Irna Bedah,,BAIK,,,False,
,,Bedside Cabinet,Paramount/ Tanpa merk,,,2019,,,,Irna Bedah,,BAIK,,,False,
,,Defibrilator,Cmos drake,Life400plus futura,,2018,1,,,Irna Bedah,,BAIK,,,False,
,,Electric suction,SANI,Electric Suction Apparatus SN 703A-,918038848,2023,2,DAK 2023,34894500.0,Irna Bedah,,BAIK,,,False,
,,Emergency kit,-,,,,,,,Irna Bedah,,BAIK,,,False,
,,Gunting perband,-,,,,,,,Irna Bedah,,BAIK,,,False,
