No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Ruang Pemilik,Lokasi Fisik saat Ini,Kondisi,Status Kalibrasi,Tanggal Kalibrasi Terakhir,Keterangan
170,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
171,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
172,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
173,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
174,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
175,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
176,Stetoskop dewasa,Cronea Care,,,2025,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
177,Syringe Pump,B-Braun,Infusomat Space P,227124,2013,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
178,Tensi Meter Dewasa,ABN,Regal,-,2019,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
179,Tensi Meter Dewasa,ABN,Regal,-,2019,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
180,Tensi Meter Dewasa,ABN,Regal,-,2019,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
181,Tensi Meter Dewasa,ABN,Regal,-,2019,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
182,Tensi Meter Dewasa,ABN,Regal,-,2019,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
183,Tensi Meter Dewasa,ABN,Regal,-,2019,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
184,Tensi Meter Dewasa,ABN,Regal,-,2019,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
185,Tensi Meter Dewasa,ABN,Regal,-,2019,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
186,Tensimeter automatic dewasa,Yuwel,YE680E,-,2023,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
187,Tensimeter automatic dewasa,Yuwel,YE680E,-,2023,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
188,Termometer Digital,Tidak ada merk,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,Beli sendiri
189,Tiang infus,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
190,Tiang infus,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
191,Tiang infus,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
192,Tiang infus,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
193,Tiang infus,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
194,Timbangan Bayi Digital,GEA,ER 7220,202101069,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
195,Timbangan Dewasa Digital,SECA,-,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
196,Timbangan Dewasa Manual,SANI,-,,2023,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
197,Trolly emergency,- Mak,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
198,Trolly emergency,- Nutritex,,,2019,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
199,Trolly Tindakan,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
200,Trolly Tindakan,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
201,Trolly Tindakan,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
